Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD100001,Electronics,Standard,2650,0.82,15.0,1,1.41,1.5,1.0,11.39
ORD100002,Beauty,Same-Day,1433,0.44,49.7,1,1.35,1.93,1.61,6.71
ORD100003,Fashion,Express,1886,0.88,84.5,1,1.88,2.36,2.22,18.63
ORD100004,Books,Standard,1369,1.55,119.2,1,2.42,2.79,2.83,31.81
ORD100005,Home & Kitchen,Same-Day,2532,2.71,153.9,1,2.35,3.22,3.44,24.01
ORD100006,Electronics,Express,3065,2.38,188.7,1,2.89,3.65,4.05,23.0
ORD100007,Beauty,Standard,1848,2.0,223.4,1,3.42,4.08,4.66,37.41
ORD100008,Home & Kitchen,Same-Day,2781,3.69,258.1,1,3.36,4.51,5.27,29.97
ORD100009,Electronics,Express,3314,3.25,292.9,1,1.7,4.94,5.88,38.52
ORD100010,Beauty,Standard,2097,2.87,343.6,1,2.23,5.37,6.49,50.89
ORD100011,Fashion,Same-Day,2550,3.42,378.3,1,2.17,5.8,7.1,29.36
ORD100012,Books,Same-Day,2033,4.09,413.0,1,2.5,6.23,7.71,37.61
ORD100013,Home & Kitchen,Express,3196,1.65,447.8,1,3.04,6.66,8.32,50.33
ORD100014,Electronics,Standard,5679,2.47,482.5,4,4.24,7.09,8.93,64.06
ORD100015, electronics,Same-Day,3542,2.5,517.2,4,4.17,7.52,9.54,54.46
ORD100016,Home & Kitchen,Express,5245,4.58,552.0,4,2.51,7.95,1.15,42.51
ORD100017,Electronics,Standard,5928,3.45,586.7,4,3.04,8.38,1.76,55.37
ORD100018,Beauty,Same-Day,4130,2.56,621.4,4,2.98,8.81,2.37,44.96
ORD100019,Fashion,Express,4793,3.15,672.1,4,3.51,9.24,2.98,57.35
ORD100020,Books,Standard,3976,4.06,706.9,4,4.05,9.74,3.59,71.14
ORD100021,Home & Kitchen,Same-Day,5679,6.14,741.6,4,3.48,1.67,4.2,43.42
ORD100022,Fashion,Express,5042,4.13,776.3,4,4.02,2.1,4.81,54.44
ORD100023,Books,Express,4225,5.04,811.1,4,2.15,2.53,5.42,57.92
ORD100024,Home & Kitchen,standard ,5928,7.01,845.8,4,2.69,2.96,6.16,71.99
ORD100025,Electronics,Same-Day,6611,2.28,880.5,4,2.62,3.39,6.77,60.75
ORD100026,Beauty,Express,4794,1.5,915.3,4,3.16,3.82,7.38,61.3
ORD100027,Fashion,Standard,7017,2.99,950.0,7,4.36,4.25,7.99,76.73
ORD100028,Books,Same-Day,5900,4.14,64.8,7,4.29,4.68,8.6,29.77
ORD100029,Beauty,Express,6393,3.12,99.5,7,4.83,5.11,9.21,41.32
ORD100030,Fashion,Standard,7266,3.86,134.2,7,3.16,5.54,9.82,51.08
ORD100031,Books,Same-Day,6149,5.12,169.0,7,3.1,5.97,1.43,20.03
ORD100032,Home & Kitchen,Express,8392,7.9,203.7,7,3.63,6.4,2.04,35.31
ORD100033,Electronics,Standard,9225,6.08,238.4,7,4.17,6.83,2.65,46.19
ORD100034,Beauty,Standard,6808,4.68,273.2,7,4.51,7.26,3.26,49.95
ORD100035,Fashion,Same-Day,7700,5.42,307.9,7,4.44,7.69,3.87,40.73
ORD100036,Electronics,Express,9493,,342.6,7,4.98,8.12,4.48,43.1
ORD100037,Beauty,Standard,7076,2.06,393.3,7,3.31,8.55,5.09,53.06
ORD100038,Fashion,Same-Day,7949,2.8,428.1,7,3.25,8.98,5.7,43.18
ORD100039,Books,Express,6832,3.95,462.8,7,3.79,9.48,6.31,56.6
ORD100040,Home & Kitchen,Standard,6675,4.13,497.5,3,3.44,9.91,6.92,67.95
ORD100041,Electronics,Same-Day,7308,3.34,532.3,3,2.87,1.84,7.53,37.8
ORD100042,Beauty,Express,5691,2.62,567.0,3,3.41,2.27,8.14,49.84
ORD100043,Home & Kitchen,Standard,6924,5.11,601.7,3,3.94,2.7,8.75,64.21
ORD100044,Electronics,Same-Day,7557,4.21,636.5,3,1.68,3.13,9.36,50.98
ORD100045,Beauty,Same-Day,5940,3.49,671.2,3,2.01,3.56,9.97,55.91
ORD100046,Fashion,Express,6533,-2.7,721.9,3,2.55,3.99,1.58,45.73
ORD100047,Books,Standard,5816,4.97,756.6,3,3.09,4.42,2.32,59.85
ORD100048,Home & Kitchen,Same-Day,7339,3.07,791.4,3,3.02,4.85,2.93,50.88
ORD100049,Electronics,Express,7972,2.17,826.1,3,3.56,5.28,3.54,62.03
ORD100050,Books,Standard,6065,2.24,860.8,3,4.09,5.71,4.15,74.88
ORD100051,Home & Kitchen,Same-Day,7588,4.05,895.6,3,1.83,6.14,4.76,53.84
ORD100052,Electronics,Express,8240,3.15,930.3,3,2.36,6.57,5.37,65.54
ORD100053,Beauty,Standard,7973,3.18,29.1,6,3.56,7.0,5.98,39.81
ORD100054,Fashion,Same-Day,8776,3.87,63.8,6,3.5,7.43,6.59,29.94
ORD100055,Books,Express,7759,4.94,114.5,6,4.03,7.86,7.2,45.2
ORD100056,Home & Kitchen,Express,9822,7.56,149.2,6,4.37,8.29,7.81,41.43
ORD100057,Fashion,Standard,9025,4.85,184.0,6,4.9,8.72,8.42,51.23
ORD100058,Books,Same-Day,8008,59.2,218.7,6,2.64,9.22,9.03,40.24
ORD100059,Home & Kitchen,Express,10071,4.83,253.4,6,3.18,9.65,9.64,53.35
ORD100060,Electronics,Standard,10854,3.24,288.2,6,3.2,1.58,1.25,44.5
ORD100061,Beauty,Same-Day,8637,2.12,322.9,6,3.14,2.01,1.86,23.03
ORD100062,FASHION,Express,9440,2.81,357.6,6,3.68,2.44,2.47,35.27
ORD100063,Books,Standard,8423,3.88,392.4,6,4.21,2.87,3.08,48.55
ORD100064,Beauty,Same-Day,8886,2.99,443.1,6,4.15,3.3,3.69,39.22
ORD100065,Fashion,Express,9689,3.68,477.8,6,2.48,3.73,4.3,50.19
ORD100066,Books,Standard,6992,3.34,512.5,2,2.14,4.16,4.91,49.15
ORD100067,Home & Kitchen,Standard,8335,4.77,547.3,2,2.48,4.59,5.52,56.02
ORD100068,Electronics,Same-Day,8918,4.1,582.0,2,2.41,5.02,6.13,45.44
ORD100069,Beauty,Express,7520,3.55,616.7,2,2.95,5.45,6.74,56.9
ORD100070,Fashion,Standard,8043,4.04,651.5,2,3.48,5.88,7.48,71.07
ORD100071,Electronics,Same-Day,9186,1.48,686.2,2,3.42,6.31,8.09,50.44
ORD100072,Beauty,Express,7769,0.93,720.9,2,1.75,6.74,8.7,59.43
ORD100073,Fashion,Standard,2292,1.42,771.6,2,2.29,7.17,9.31,71.47
ORD100074,Books,Same-Day,1675,2.17,806.4,2,2.23,7.6,9.92,63.17
ORD100075,Home & Kitchen,EXPRESS,3018,3.6,841.1,2,2.76,8.03,1.53,67.8
ORD100076,Electronics,Standard,3601,3.04,875.8,2,3.3,8.46,2.14,66.72
ORD100077,Beauty,Same-Day,2184,2.49,910.6,2,3.24,8.96,2.75,56.66
ORD100078,Home & Kitchen,Same-Day,3267,4.58,945.3,2,3.57,9.39,3.36,63.6
ORD100079,Electronics,Express,5800,5.17,44.1,5,4.77,9.82,3.97,38.21
ORD100080,Beauty,Standard,3783,4.11,78.8,5,2.6,1.75,4.58,43.26
ORD100081,Fashion,Same-Day,4516,4.86,113.6,5,2.53,2.18,5.19,18.43
ORD100082,Books,Express,3599,2.25,164.3,5,3.07,2.61,5.8,31.55
ORD100083,Home & Kitchen,Standard,5482,4.49,199.0,5,3.6,3.04,6.41,45.51
ORD100084,Electronics,Same-Day,6215,3.13,233.7,5,3.54,3.47,7.02,35.03
ORD100085,Books,Express,3848,3.12,268.5,5,4.07,3.9,7.63,34.23
ORD100086,Home & Kitchen,Standard,5750,5.47,303.2,5,4.61,4.33,8.24,51.55
ORD100087,Electronics,Same-Day,6483,4.11,337.9,5,2.35,4.76,8.85,38.35
ORD100088,Beauty,Express,4466,3.05,372.7,5,2.88,5.19,9.46,49.44
ORD100089,Fashion,Express,5199,3.69,407.4,5,,5.62,1.07,42.13
ORD100090,Books,Standard,4282,4.68,442.1,5,3.75,6.05,1.68,43.77
ORD100091,Home & Kitchen,Same-Day,6165,7.03,492.8,5,3.69,6.48,2.29,39.16
ORD100092,Fashion,Express,3368,3.47,527.6,1,3.34,6.91,2.9,45.51
ORD100093,Books,Standard,2851,4.14,562.3,1,3.88,7.34,3.64,58.87
ORD100094,Home & Kitchen,Same-Day,4014,1.7,597.0,1,1.62,7.77,4.25,47.45
ORD100095,Electronics,Express,4547,1.26,631.8,1,2.15,8.2,4.86,47.5
ORD100096,Beauty,Standard,3330,0.99,666.5,1,2.69,8.7,5.47,60.88
ORD100097,Fashion,Same-Day,3783,1.43,-35.0,1,2.63,9.13,6.08,50.98
ORD100098,Books,Express,3266,2.1,736.0,1,3.16,9.56,6.69,64.16
ORD100099,Beauty,Standard,3579,1.86,770.7,1,3.7,9.99,7.3,76.38
ORD100100,Fashion,Standard,4032,2.3,821.4,1,3.53,1.92,7.91,61.5
ORD100101,Books,Same-Day,3515,3.08,856.1,1,1.26,2.35,8.52,51.96
ORD100102,Home & Kitchen,Express,4678,4.24,890.9,1,1.8,2.78,9.13,65.71
ORD100103,Electronics,Standard,5230,3.8,925.6,1,2.33,3.21,9.74,76.92
ORD100104,Beauty,Same-Day,4013,3.42,24.4,1,2.27,3.64,1.35,15.61
ORD100105,Fashion,Express,6026,4.76,59.1,4,3.46,4.07,1.96,19.01
ORD100106,Electronics,Standard,7429,2.44,93.9,4,4.0,4.5,2.57,33.05
ORD100107,Beauty,Same-Day,5612,1.55,128.6,4,3.94,4.93,3.18,22.58
ORD100108,Fashion,Express,6275,2.14,163.3,4,2.27,5.36,3.79,31.68
ORD100109,Books,Standard,5458,3.05,214.0,4,2.81,5.79,4.4,46.21
ORD100110,Home & kitchen,Same-Day,7161,5.02,248.8,4,2.74,6.22,5.01,27.84
ORD100111,Electronics,Same-Day,7844,4.0,283.5,4,3.08,6.65,5.62,32.79
ORD100112,Beauty,Express,6027,3.11,318.2,4,3.61,7.08,6.23,44.03
ORD100113,Home & Kitchen,Standard,7410,6.0,353.0,4,4.15,7.51,6.84,58.5
ORD100114,Electronics,Same-Day,8093,4.87,387.7,4,4.09,7.94,7.45,48.49
ORD100115,Beauty,Express,6276,3.98,422.4,4,2.43,8.44,8.06,46.62
ORD100116,Fashion,Standard,6939,4.68,457.2,4,2.96,8.87,8.8,59.54
ORD100117,Books,Same-Day,6122,1.99,491.9,4,2.9,9.3,9.41,50.05
ORD100118,Home & Kitchen,Express,9625,5.91,542.6,7,4.09,9.73,1.02,55.22
ORD100119,Electronics,Standard,10458,4.09,577.3,7,4.12,1.66,1.63,57.73
ORD100120,Books,Same-Day,7650,4.0,612.0,7,4.06,2.09,2.24,37.23
ORD100121,Home & Kitchen,Express,9893,6.89,646.8,7,4.59,2.52,2.85,52.27
ORD100122,Electronics,Same day,10726,5.07,681.5,7,2.73,2.95,3.46,53.25
ORD100123,Beauty,Standard,8309,3.67,716.2,7,3.26,3.38,4.07,64.27
ORD100124,Fashion,Same-Day,9182,4.41,751.0,7,3.2,3.81,4.68,55.26
ORD100125,Books,Express,8065,5.56,785.7,7,3.73,4.24,5.29,58.13
ORD100126,Home & Kitchen,Standard,10308,8.45,820.5,7,4.27,4.67,5.9,73.06
ORD100127,Fashion,Same-Day,9431,5.39,871.1,7,4.21,5.1,6.51,61.19
ORD100128,Books,Express,8314,6.54,905.9,7,4.74,5.53,7.12,74.57
ORD100129,Home & Kitchen,Standard,10557,5.72,940.6,7,3.08,5.96,7.73,86.08
ORD100130,Electronics,Same-Day,11390,3.9,39.4,7,3.01,6.39,8.34,25.37
ORD100131,Beauty,Express,7173,1.61,74.1,3,2.67,6.82,8.95,33.89
ORD100132,Fashion,Standard,7766,2.15,108.9,3,3.21,7.25,9.56,45.61
ORD100133,Books,Standard,7049,2.98,143.6,3,3.54,7.68,1.17,39.54
ORD100134,Beauty,Same-Day,7422,2.48,178.3,3,3.48,8.18,1.78,30.84
ORD100135,Fashion,Express,8015,3.02,213.1,3,4.02,8.61,2.39,31.94
ORD100136,Books,Standard,7298,3.96,263.8,3,2.35,9.04,3.0,43.79
ORD100137,Home & Kitchen,Same-Day,8840,5.66,298.5,3,2.29,9.47,3.61,35.88
ORD100138,Electronics,Express,9473,4.76,333.2,3,2.82,9.9,4.22,47.07
ORD100139,Beauty,Standard,7856,4.04,368.0,3,2.85,1.83,4.96,50.84
ORD100140,Fashion,Same-Day,8449,0.98,402.7,3,2.79,2.26,5.57,28.97
ORD100141,Electronics,Express,9722,2.14,437.4,3,3.32,2.69,6.18,43.18
ORD100142,Beauty,Standard,8105,1.42,472.2,3,3.86,3.12,,54.4
ORD100143,Fashion,Same-Day,8698,1.96,506.9,3,1.59,3.55,7.4,41.89
ORD100144,Books,Same-Day,3241,3.93,541.6,6,2.59,3.98,8.01,51.81
ORD100145,Home & Kitchen,Express,5304,6.44,592.3,6,3.12,4.41,8.62,55.53
ORD100146,Electronics,Standard,6087,4.96,627.1,6,3.66,4.84,9.23,66.86
ORD100147,Beauty,Same-Day,3870,3.73,661.8,6,3.6,5.27,9.84,56.16
ORD100148,Home & Kitchen,Express,5553,7.42,696.5,6,4.13,5.7,1.45,58.89
ORD100149,Electronics,Standard,6336,5.83,731.3,6,4.67,6.13,2.06,71.97
ORD100150,Beauty,Same-Day,4119,4.6,766.0,0,4.6,6.56,2.67,49.87
ORD100151,Fashion,Express,4922,1.8,800.7,6,2.94,6.99,3.28,58.31
ORD100152,Books,Standard,3905,2.87,835.5,6,3.48,7.42,3.89,71.58
ORD100153,Home & Kitchen,Same-Day,5968,5.38,870.2,6,3.42,7.92,4.5,64.21
ORD100154,Electronics,Express,6770,3.79,920.9,6,3.95,8.35,5.11,78.63
ORD100155,Books,Express,4173,3.74,19.7,6,4.29,8.78,5.72,31.69
ORD100156,Home & Kitchen,Standard,6236,6.36,54.4,6,4.82,9.21,6.33,46.11
ORD100157,Electronics,Same-Day,4419,3.09,89.2,2,3.88,9.64,6.94,31.88
ORD100158,Beauty,Express,3002,2.54,123.9,2,1.7,1.57,7.55,31.65
ORD100159, beauty ,Standard,3525,3.03,158.6,2,2.24,2.0,8.16,47.88
ORD100160,Books,Same-Day,2908,3.78,193.4,2,2.18,2.43,8.77,25.64
ORD100161,Home & Kitchen,Express,4251,5.32,228.1,2,2.71,2.86,9.38,39.66
ORD100162,Fashion,Standard,3774,4.01,262.8,2,3.25,3.29,1.12,37.36
ORD100163,Books,Same-Day,3157,1.16,313.5,2,3.18,3.72,1.73,28.73
ORD100164,Home & Kitchen,Express,4500,2.59,348.3,2,3.72,4.15,2.34,29.66
