Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD100001,Electronics,Standard,2600,2.7,825.6,3,2.2,1.65,5.74,66.12
ORD100002,Books,Same-Day,3212,3.34,219.6,7,4.58,3.76,7.59,38.35
ORD100003,Books,Express,2966,2.6,108.0,1,2.36,5.08,3.74,25.38
ORD100004,Beauty,Express,5149,3.26,223.4,6,2.21,5.33,1.28,27.83
ORD100005,Electronics,Express,5867,3.65,250.0,5,1.93,6.53,9.92,43.45
ORD100006,Fashion,Standard,720,2.54,517.2,1,1.99,3.02,7.41,56.64
ORD100007,Home & Kitchen,Standard,5928,4.98,19.7,5,3.41,7.39,4.62,38.46
ORD100008,Books,Same-Day,6885,4.14,679.9,8,4.58,1.72,2.39,48.1
ORD100009,Fashion,Standard,3960,6.46,395.3,5,4.83,7.76,2.54,50.39
ORD100010,Home & Kitchen,Express,5105,4.64,776.5,5,2.99,8.31,5.41,64.7
ORD100011,Home & Kitchen,Same-Day,3722,4.42,165.7,3,2.28,7.52,7.25,37.85
ORD100012,Beauty,Standard,2408,4.91,522.5,1,2.56,6.25,7.3,54.27
ORD100013,Books,Express,3718,2.36,490.4,3,1.23,8.54,2.76,48.51
ORD100014,Fashion,Standard,2583,3.97,121.2,6,1.55,8.67,5.63,41.65
ORD100015,Electronics,Same-Day,8674,5.1,-60,10,2.99,1.15,6.83,40.07
ORD100016,Fashion,Same-Day,3810,2.11,858.9,3,1.26,5.19,1.42,47.27
ORD100017,Home & Kitchen,Standard,3832,5.4,672.1,4,1.48,8.37,1.02,55.46
ORD100018,Books,Express,926,3.9,438.2,4,3.18,5.22,7.2,50.79
ORD100019,Fashion,Express,5764,3.67,133.9,4,1.39,8.68,6.99,35.93
ORD100020,Electronics,Express,3906,4.11,194.9,8,3.01,4.08,3.02,33.96
ORD100021,Beauty,Same-Day,1625,1.58,815.5,2,1.41,6.24,7.6,57.26
ORD100022,Books,Same-Day,3108,3.98,371.1,7,4.38,6.45,4.52,41.08
ORD100023,Electronics,Standard,14420,3.59,906.4,3,0.79,1.13,2.78,67.48
ORD100024, electronics,Express,7243,2.7,269.1,3,1.65,1.75,8.96,38.67
ORD100025,Beauty,Express,6022,3.67,528.5,10,3.28,8.67,9.56,60.44
ORD100026,Home & Kitchen,Standard,8899,4.43,694.9,4,3.94,1.02,8.63,60.57
ORD100027,Home & Kitchen,Same-Day,4585,3.14,676.4,5,2.19,3.03,4.77,49.39
ORD100028,Fashion,Express,7766,2.74,608.7,3,,2.27,1.05,41.57
ORD100029,Home & Kitchen,Standard,4837,4.06,733.8,6,3.21,3.54,2.98,66.02
ORD100030,Electronics,Express,6148,2.82,892.5,2,1.91,2.58,9.07,70.55
ORD100031,Home & Kitchen,Standard,4767,5.53,740.7,7,2.25,4.34,7.12,74.42
ORD100032,Electronics,Same-Day,4257,2.79,24.7,1,1.75,3.47,2.38,14.5
ORD100033,Books,Same-Day,4384,4.52,939.6,6,3.64,7.31,8.11,67.18
ORD100034,Beauty,Express,8532,4.26,322.6,9,3.37,9.03,7.17,49.18
ORD100035,Fashion,Same-Day,3029,2.23,379.5,3,3.19,1.93,6.36,31.23
ORD100036,Books,Standard,1220,2.32,547.8,2,3.86,2.22,8.3,57.08
ORD100037,Fashion,Standard,3639,3.22,399.0,1,3.54,1.68,9.21,51.74
ORD100038,Beauty,Same-Day,3954,4.17,336.4,1,0.98,5.36,2.24,25.37
ORD100039,Home & Kitchen,Standard,3679,4.85,675.9,2,1.1,6.72,7.74,71.0
ORD100040,Home & Kitchen,Same-Day,7037,7.65,184.3,10,2.65,3.13,5.78,30.07
ORD100041,Beauty,Standard,3645,1.4,108.4,1,1.75,6.66,8.39,37.34
ORD100042,Books,Same-Day,2709,2.69,341.9,2,2.39,2.93,7.68,28.57
ORD100043,Beauty,Express,2013,3.97,948.3,5,1.67,1.81,8.89,64.97
ORD100044,Books,Standard,8984,3.78,80.8,9,4.78,1.49,2.05,25.1
ORD100045,Books,Same-Day,3472,3.04,795.3,3,2.32,6.66,4.8,50.47
ORD100046,Fashion,Standard,6331,3.92,902.0,7,2.88,4.11,3.43,71.73
ORD100047,Fashion,Standard,6139,3.45,323.8,8,3.75,7.34,5.92,50.23
ORD100048,Beauty,Express,2274,2.55,623.4,4,3.41,9.01,7.41,62.9
ORD100049,Fashion,Standard,1685,4.68,403.5,4,0.93,2.05,4.08,40.34
ORD100050,Beauty,Same-Day,4788,2.34,287.3,3,1.93,5.32,5.82,35.82
ORD100051,Home & Kitchen,Same-Day,7691,3.72,199.8,7,2.18,4.23,1.54,28.98
ORD100052,Electronics,Standard,1497,2.51,170.8,1,3.49,9.75,9.61,55.24
ORD100053,Books,Express,1813,2.76,663.3,3,3.78,7.61,8.05,54.76
ORD100054,Electronics,Express,10306,7.22,148.3,10,3.96,2.11,5.82,37.77
ORD100055,Books,Standard,866,2.15,504.4,2,3.82,5.75,4.03,61.23
ORD100056,Electronics,Standard,671,4.05,469.5,1,1.89,3.26,9.4,52.89
ORD100057,Home & Kitchen,Same-Day,2561,2.74,91.7,2,1.94,2.01,3.57,19.36
ORD100058,Home & Kitchen,Same-Day,4738,3.79,138.7,3,2.37,1.46,4.31,21.4
ORD100059,Beauty,Standard,2266,2.52,266.7,5,1.17,8.77,3.87,49.57
ORD100060,Books,Standard,3049,2.99,743.1,6,5.03,5.44,9.2,77.06
ORD100061,Home & Kitchen,Same-Day,4839,2.94,118.7,4,2.49,8.71,4.27,29.41
ORD100062,Fashion,Same-Day,3634,3.32,80.1,8,4.74,4.61,2.2,23.71
ORD100063,Beauty,Same-Day,2915,2.89,421.3,2,4.0,7.31,5.76,43.49
ORD100064,Home & Kitchen,Express,1326,2.37,47.1,1,1.32,7.68,5.28,24.91
ORD100065,Electronics,Express,4230,4.6,340.7,0,3.28,7.24,2.9,45.98
ORD100066,Fashion,Standard,3477,3.52,112.7,6,2.86,9.24,6.75,51.82
ORD100067,Electronics,Express,2828,3.57,226.2,1,3.68,8.2,7.71,39.83
ORD100068,Fashion,Standard,2081,1.9,19.8,1,1.47,5.66,3.16,23.74
ORD100069,Home & Kitchen,Express,5640,2.78,135.6,2,3.54,1.12,5.32,27.09
ORD100070,Home & Kitchen,Same-Day,4326,3.36,406.5,3,1.25,9.23,6.33,34.98
ORD100071,Electronics,Express,9662,4.48,922.3,9,4.32,6.81,5.5,64.92
ORD100072,Electronics,Standard,6734,3.64,152.6,7,4.27,1.22,3.15,39.29
ORD100073,Fashion,Same-Day,7440,3.76,85.3,7,3.2,7.72,8.75,30.21
ORD100074,Home & Kitchen,Standard,3336,6.5,631.6,1,1.23,9.83,6.96,58.01
ORD100075,Home & Kitchen,Standard,3862,4.61,643.1,3,2.62,4.71,2.47,55.04
ORD100076,Fashion,Express,4131,4.1,337.4,6,4.42,3.61,2.28,40.38
ORD100077,Fashion,Express,5970,3.93,323.8,8,3.02,8.2,8.55,46.19
ORD100078,Fashion,Express,3491,2.23,385.0,1,0.67,3.89,2.04,31.3
ORD100079,Beauty,Express,2927,3.93,780.0,6,4.17,8.79,7.52,67.06
